team,total_passes,total_completed,total_uncompleted,total_percentage%,f3_passes,f3_completed,f3_uncompleted,f3_percentage%,short_passes,short_completed,short_uncompleted,short_percentage%,long_passes,long_completed,long_uncompleted,long_percentage%,average_pass_length,crosses,crosses_completed,crosses_uncompleted,crosses_percentage%,MP
Augsburg,14831,11167,3664,75.29499022318117,1903,971,932,51.02469784550709,7480,6806,674,90.98930481283422,2521,1000,1521,39.66679888932963,22.316252036756964,370,117,253,31.62162162162162,34
Bayer Leverkusen,16329,11997,4332,73.47051258497153,2228,1172,1056,52.6032315978456,8702,7734,968,88.87612043208458,2352,879,1473,37.37244897959184,19.40510581624969,386,115,271,29.792746113989637,34
Bayern Munich,25862,22515,3347,87.05823215528574,2633,1966,667,74.66767945309533,18128,17133,995,94.511253309797,2090,1065,1025,50.95693779904307,18.200876844559282,561,196,365,34.93761140819964,34
Borussia Dortmund,22982,19241,3741,83.72204333826473,2399,1580,819,65.86077532305127,15812,14734,1078,93.18239311915,1789,724,1065,40.469536053661265,18.18339423426567,444,141,303,31.756756756756754,34
Borussia Mönchengladbach,19896,15985,3911,80.34278246883795,1966,1129,837,57.42624618514751,12640,11555,1085,91.41613924050634,1942,686,1256,35.32440782698249,19.012632169859614,288,84,204,29.166666666666668,34
Darmstadt 98,9549,5268,4281,55.16808042726987,2207,843,1364,38.19664703217037,2770,2219,551,80.10830324909747,2634,894,1740,33.94077448747153,24.371303839208323,338,99,239,29.289940828402365,34
Eintracht Frankfurt,15431,11244,4187,72.86630808113537,1915,955,960,49.869451697127936,8060,7222,838,89.6029776674938,2410,912,1498,37.84232365145228,20.244928338859992,425,119,306,28.000000000000004,34
FC Köln,15026,11201,3825,74.54412351923332,1946,967,979,49.69167523124358,7655,6955,700,90.85564990202482,2464,942,1522,38.23051948051948,21.986918519132765,394,118,276,29.949238578680205,34
FSV Mainz 05,14896,10871,4025,72.97932330827066,1871,892,979,47.67504008551577,7408,6637,771,89.59233261339092,2478,897,1581,36.19854721549637,21.46255838012605,302,94,208,31.125827814569533,34
Hamburger SV,15534,11270,4264,72.55053431183211,1992,951,1041,47.74096385542169,7753,6873,880,88.6495550109635,2492,925,1567,37.118780096308186,20.968141474178353,316,95,221,30.063291139240505,34
Hannover 96,14834,10843,3991,73.09559120938385,1965,979,986,49.82188295165395,7601,6857,744,90.21181423496908,2244,827,1417,36.853832442067734,20.02537302267719,330,90,240,27.27272727272727,34
Hertha Berlin,16959,13253,3706,78.14729642077953,1695,895,800,52.8023598820059,9541,8741,800,91.61513468189916,2218,800,1418,36.06853020739405,20.710606681196527,360,97,263,26.944444444444443,34
Hoffenheim,15214,11310,3904,74.33942421453924,1878,944,934,50.26624068157615,8481,7557,924,89.10505836575877,2205,800,1405,36.281179138321995,20.672502335526918,320,90,230,28.125,34
Ingolstadt,13400,8663,4737,64.64925373134328,2593,1095,1498,42.22907828769765,5302,4517,785,85.19426631459827,2799,945,1854,33.762057877813504,22.180738619609944,351,89,262,25.356125356125357,34
Schalke 04,16793,13274,3519,79.0448401119514,1836,1087,749,59.20479302832244,9553,8733,820,91.41630901287554,2248,998,1250,44.395017793594306,20.14145258361844,384,147,237,38.28125,34
VfB Stuttgart,14830,10684,4146,72.04315576534053,1979,1010,969,51.03587670540677,7491,6634,857,88.55960485916434,2214,755,1459,34.101174345076785,20.12863558244186,493,150,343,30.425963488843816,34
Werder Bremen,13562,9412,4150,69.3997935407757,1982,971,1011,48.99091826437941,6214,5446,768,87.64081107177341,2448,995,1453,40.64542483660131,21.3433496983684,374,124,250,33.155080213903744,34
Wolfsburg,19671,16100,3571,81.84637283310458,2011,1256,755,62.456489308801586,11974,11149,825,93.11007182228161,2379,1121,1258,47.12063892391761,20.25793565516722,510,156,354,30.58823529411765,34
