index,player,recoveries,duels,duels_won,fouls_committed,shot_blocked,clearances,pressure,interceptions,team,MP,competition
223,Leon Goretzka,132,115,41,35,57,50,535,37,Schalke 04,25,Germany - 1. Bundesliga
224,Leon Guwara,5,6,6,3,4,2,22,0,Werder Bremen,1,Germany - 1. Bundesliga
225,Leonardo Bittencourt,81,133,46,59,44,9,781,26,FC Köln,29,Germany - 1. Bundesliga
226,Leroy Sané,139,103,32,39,42,6,558,16,Schalke 04,33,Germany - 1. Bundesliga
227,Levin Mete Öztunali,81,63,11,32,38,8,291,9,Werder Bremen,25,Germany - 1. Bundesliga
228,Lewis Harry Holtby,214,171,68,83,88,50,951,31,Hamburger SV,34,Germany - 1. Bundesliga
229,Loris Karius,185,0,0,0,1,0,6,0,FSV Mainz 05,34,Germany - 1. Bundesliga
230,Luc Castaignos,16,57,5,32,16,1,249,3,Eintracht Frankfurt,19,Germany - 1. Bundesliga
231,Luca Caldirola,67,111,37,45,73,173,484,32,Darmstadt 98,34,Germany - 1. Bundesliga
232,Luca-Milan Zander,4,4,0,0,5,3,18,4,Werder Bremen,2,Germany - 1. Bundesliga
233,Luiz Gustavo Dias,107,68,26,45,31,28,388,20,Wolfsburg,22,Germany - 1. Bundesliga
234,Lukas Fröde,7,15,2,5,1,2,29,1,Werder Bremen,6,Germany - 1. Bundesliga
235,Lukas Hinterseer,76,127,9,32,49,11,482,4,Ingolstadt,28,Germany - 1. Bundesliga
236,Lukas Rupp,160,122,49,39,71,22,706,29,VfB Stuttgart,29,Germany - 1. Bundesliga
237,Lukáš Hrádecký,200,0,0,0,1,1,4,0,Eintracht Frankfurt,34,Germany - 1. Bundesliga
238,László Kleinheisler,15,8,2,6,4,0,45,1,Werder Bremen,6,Germany - 1. Bundesliga
239,Mahmoud Dahoud,142,86,39,63,54,32,604,25,Borussia Mönchengladbach,32,Germany - 1. Bundesliga
240,Makoto Hasebe,155,116,40,41,80,55,504,21,Eintracht Frankfurt,32,Germany - 1. Bundesliga
241,Manuel Neuer,140,0,0,0,1,1,1,0,Bayern Munich,34,Germany - 1. Bundesliga
242,Manuel Schmiedebach,133,90,31,48,53,19,542,37,Hannover 96,22,Germany - 1. Bundesliga
243,Marc Stendera,146,129,57,54,61,16,746,26,Eintracht Frankfurt,26,Germany - 1. Bundesliga
244,Marcel  Hilßner,1,0,0,0,2,0,7,0,Werder Bremen,1,Germany - 1. Bundesliga
245,Marcel Hartel,10,1,0,1,2,2,23,0,FC Köln,6,Germany - 1. Bundesliga
246,Marcel Heller,158,169,35,46,48,21,647,25,Darmstadt 98,33,Germany - 1. Bundesliga
247,Marcel Risse,157,112,57,36,55,35,537,42,FC Köln,33,Germany - 1. Bundesliga
248,Marcel Schmelzer,71,86,23,25,45,60,336,19,Borussia Dortmund,26,Germany - 1. Bundesliga
249,Marcel Schäfer,54,41,12,11,19,24,156,4,Wolfsburg,21,Germany - 1. Bundesliga
250,Marcelo Alfonso Díaz Rojas,34,15,3,8,6,6,103,4,Hamburger SV,11,Germany - 1. Bundesliga
251,Marcelo Antônio Guedes Filho,82,57,16,25,34,131,164,26,Hannover 96,19,Germany - 1. Bundesliga
252,Marco Höger,15,16,5,5,4,3,39,0,Schalke 04,5,Germany - 1. Bundesliga
253,Marco Jhonfai Fabián De La Mora,45,61,9,22,23,2,214,6,Eintracht Frankfurt,11,Germany - 1. Bundesliga
254,Marco Reus,68,51,16,22,32,5,343,3,Borussia Dortmund,26,Germany - 1. Bundesliga
255,Marco Russ,98,109,21,24,51,109,228,27,Eintracht Frankfurt,28,Germany - 1. Bundesliga
256,Marco Sailer,9,37,1,12,5,5,139,2,Darmstadt 98,14,Germany - 1. Bundesliga
257,Mario Götze,30,33,13,24,15,2,246,4,Bayern Munich,14,Germany - 1. Bundesliga
258,Mario Vrančić,44,66,14,31,24,7,269,5,Darmstadt 98,22,Germany - 1. Bundesliga
259,Marius Wolf,1,7,1,1,6,7,51,3,Hannover 96,2,Germany - 1. Bundesliga
260,Mark Uth,45,57,15,25,52,10,408,11,Hoffenheim,25,Germany - 1. Bundesliga
261,Markus Feulner,57,56,23,30,20,29,259,9,Augsburg,19,Germany - 1. Bundesliga
262,Markus Suttner,69,59,18,17,37,64,242,33,Ingolstadt,18,Germany - 1. Bundesliga
263,Marlon Frey,16,10,1,6,6,6,48,4,Bayer Leverkusen,9,Germany - 1. Bundesliga
264,Mart Ristl,7,1,0,4,2,0,23,0,VfB Stuttgart,3,Germany - 1. Bundesliga
265,Martin Harnik,44,76,10,21,32,17,252,7,VfB Stuttgart,19,Germany - 1. Bundesliga
266,Martin Hinteregger,24,43,17,3,25,37,102,8,Borussia Mönchengladbach,10,Germany - 1. Bundesliga
267,Martin Stranzl,3,5,1,4,1,7,17,1,Borussia Mönchengladbach,3,Germany - 1. Bundesliga
268,Marvin Matip,121,107,21,29,64,216,234,38,Ingolstadt,33,Germany - 1. Bundesliga
269,Marvin Plattenhardt,128,78,22,40,52,76,321,31,Hertha Berlin,33,Germany - 1. Bundesliga
270,Marvin Schulz,12,16,4,5,9,17,68,0,Borussia Mönchengladbach,8,Germany - 1. Bundesliga
271,Marwin Hitz,157,1,0,0,2,1,5,0,Augsburg,33,Germany - 1. Bundesliga
272,Mathew Leckie,169,211,22,53,65,15,572,30,Ingolstadt,32,Germany - 1. Bundesliga
273,Mats Hummels,162,113,41,20,39,122,246,38,Borussia Dortmund,30,Germany - 1. Bundesliga
274,Matthias Ginter,78,74,22,24,27,50,213,16,Borussia Dortmund,24,Germany - 1. Bundesliga
275,Matthias Lehmann,111,75,25,61,28,43,581,29,FC Köln,32,Germany - 1. Bundesliga
276,Matthias Ostrzolek,157,119,34,26,91,76,431,58,Hamburger SV,32,Germany - 1. Bundesliga
277,Matthias Zimmermann,11,7,1,0,6,4,30,3,VfB Stuttgart,2,Germany - 1. Bundesliga
278,Max Christiansen,93,53,17,30,25,16,276,8,Ingolstadt,18,Germany - 1. Bundesliga
279,Max Kruse,73,65,7,20,18,2,325,2,Wolfsburg,32,Germany - 1. Bundesliga
280,Max Meyer,132,43,6,20,20,3,284,13,Schalke 04,32,Germany - 1. Bundesliga
281,Maximilian Arnold,112,75,22,53,28,15,477,18,Wolfsburg,31,Germany - 1. Bundesliga
282,Maximilian Eggestein,12,14,3,3,6,0,34,1,Werder Bremen,7,Germany - 1. Bundesliga
283,Maximilian Mittelstädt,10,2,1,1,8,2,48,7,Hertha Berlin,3,Germany - 1. Bundesliga
284,Medhi Amine El Mouttaqi Benatia,62,28,7,16,13,42,88,23,Bayern Munich,14,Germany - 1. Bundesliga
285,Melvyn Lorenzen,4,9,1,5,6,0,58,2,Werder Bremen,9,Germany - 1. Bundesliga
286,Mevlüt Erdinç,6,18,0,6,5,6,34,0,Hannover 96,11,Germany - 1. Bundesliga
287,Michael Gregoritsch,56,112,12,29,34,17,282,12,Hamburger SV,25,Germany - 1. Bundesliga
288,Miiko Martín Albornoz Inola,108,103,29,26,59,63,357,30,Hannover 96,23,Germany - 1. Bundesliga
289,Mijat Gaćinović,19,29,6,5,9,2,62,6,Eintracht Frankfurt,7,Germany - 1. Bundesliga
290,Miloš Jojić,27,26,4,14,8,3,180,3,FC Köln,15,Germany - 1. Bundesliga
291,Mitchell James Langerak,10,0,0,0,0,0,4,0,VfB Stuttgart,2,Germany - 1. Bundesliga
292,Mitchell Weiser,139,129,37,32,54,38,556,30,Hertha Berlin,29,Germany - 1. Bundesliga
293,Moritz Hartmann,74,137,13,29,42,13,419,13,Ingolstadt,30,Germany - 1. Bundesliga
294,Moritz Leitner,14,9,4,4,8,1,71,2,Borussia Dortmund,9,Germany - 1. Bundesliga
295,Mustafa Batuhan Altıntaş,4,0,0,3,0,0,15,0,Hamburger SV,1,Germany - 1. Bundesliga
296,Márcio Rafael Ferreira de Souza,99,51,22,23,34,29,165,23,Bayern Munich,25,Germany - 1. Bundesliga
297,Mërgim Mavraj,26,55,20,18,26,87,160,6,FC Köln,11,Germany - 1. Bundesliga
298,Nabil Bahoui,6,9,5,9,6,2,65,0,Hamburger SV,6,Germany - 1. Bundesliga
299,Nadiem Amiri,95,51,21,33,23,7,442,10,Hoffenheim,25,Germany - 1. Bundesliga
300,Neven Subotić,21,17,2,5,11,24,55,4,Borussia Dortmund,6,Germany - 1. Bundesliga
301,Nicklas Bendtner,11,27,3,8,3,5,67,0,Wolfsburg,13,Germany - 1. Bundesliga
302,Nico Elvedi,81,81,20,19,45,70,220,36,Borussia Mönchengladbach,21,Germany - 1. Bundesliga
303,Nico Schulz,2,2,0,1,1,0,14,0,Borussia Mönchengladbach,2,Germany - 1. Bundesliga
304,Nicolai Müller,108,132,39,62,72,18,647,13,Hamburger SV,29,Germany - 1. Bundesliga
305,Niklas Stark,54,55,12,26,28,74,202,17,Hertha Berlin,21,Germany - 1. Bundesliga
306,Niklas Süle,109,97,22,20,78,201,252,35,Hoffenheim,33,Germany - 1. Bundesliga
307,Niko Bungert,37,58,16,20,33,86,170,25,FSV Mainz 05,20,Germany - 1. Bundesliga
308,Noah-Joel Sarenren-Bazee,21,18,0,14,5,0,57,0,Hannover 96,5,Germany - 1. Bundesliga
309,Nuri Şahin,21,22,11,8,6,7,100,7,Borussia Dortmund,9,Germany - 1. Bundesliga
310,Odisseas Vlachodimos,6,0,0,0,0,0,0,0,VfB Stuttgart,3,Germany - 1. Bundesliga
311,Oliver Baumann,204,0,0,0,1,0,1,0,Hoffenheim,33,Germany - 1. Bundesliga
312,Oliver Sorg,67,58,17,18,30,27,235,24,Hannover 96,20,Germany - 1. Bundesliga
313,Oscar Wendt,116,95,31,21,67,78,328,30,Borussia Mönchengladbach,30,Germany - 1. Bundesliga
314,Pablo Ezequiel De Blasis,68,132,37,35,37,15,442,19,FSV Mainz 05,26,Germany - 1. Bundesliga
315,Papiss Mison Djilobodji,69,32,10,18,32,101,99,32,Werder Bremen,14,Germany - 1. Bundesliga
316,Pascal Groß,158,128,37,42,79,25,832,25,Ingolstadt,32,Germany - 1. Bundesliga
317,Patrick Herrmann,27,29,7,8,14,5,92,3,Borussia Mönchengladbach,18,Germany - 1. Bundesliga
318,Paul Seguin,4,5,1,0,2,2,41,0,Wolfsburg,4,Germany - 1. Bundesliga
319,Paul Verhaegh,86,69,18,13,52,67,247,23,Augsburg,25,Germany - 1. Bundesliga
320,Pavel Kadeřábek,68,98,16,26,71,87,264,33,Hoffenheim,28,Germany - 1. Bundesliga
321,Paweł Olkowski,55,39,10,12,28,43,167,15,FC Köln,19,Germany - 1. Bundesliga
322,Per Ciljan Skjelbred,147,109,41,66,68,53,642,24,Hertha Berlin,31,Germany - 1. Bundesliga
323,Peter Niemeyer,137,156,35,77,82,82,720,38,Darmstadt 98,31,Germany - 1. Bundesliga
324,Peter Pekarík,46,37,14,13,28,33,176,13,Hertha Berlin,12,Germany - 1. Bundesliga
325,Philip Heise,8,5,2,1,4,5,37,2,VfB Stuttgart,5,Germany - 1. Bundesliga
326,Philipp Bargfrede,78,62,29,29,34,20,286,20,Werder Bremen,14,Germany - 1. Bundesliga
327,Philipp Hosiner,12,38,5,8,5,3,107,0,FC Köln,15,Germany - 1. Bundesliga
328,Philipp Lahm,104,55,15,11,27,40,207,19,Bayern Munich,26,Germany - 1. Bundesliga
329,Philipp Max,78,91,19,36,44,62,368,26,Augsburg,26,Germany - 1. Bundesliga
330,Philipp Ochs,23,35,14,10,11,8,165,6,Hoffenheim,13,Germany - 1. Bundesliga
331,Phillipp Klement,3,0,0,0,1,0,6,0,FSV Mainz 05,2,Germany - 1. Bundesliga
332,Pierre Bengtsson,51,54,11,14,35,46,215,13,FSV Mainz 05,16,Germany - 1. Bundesliga
333,Pierre-Emerick Aubameyang,52,62,4,30,27,7,467,4,Borussia Dortmund,31,Germany - 1. Bundesliga
334,Pierre-Emile Højbjerg,87,47,21,39,40,25,306,24,Schalke 04,23,Germany - 1. Bundesliga
335,Pierre-Michel Lasogga,52,130,4,56,19,31,462,4,Hamburger SV,30,Germany - 1. Bundesliga
336,Piotr Trochowski,12,3,1,5,0,0,40,1,Augsburg,5,Germany - 1. Bundesliga
337,Pirmin Schwegler,60,79,25,36,29,34,313,16,Hoffenheim,21,Germany - 1. Bundesliga
338,Przemysław Tytoń,161,0,0,3,0,0,8,0,VfB Stuttgart,30,Germany - 1. Bundesliga
339,Raffael Caetano de Araújo,135,83,23,20,37,3,595,11,Borussia Mönchengladbach,31,Germany - 1. Bundesliga
340,Ragnar Klavan,90,78,23,24,53,187,284,26,Augsburg,31,Germany - 1. Bundesliga
341,Ralf Fährmann,175,0,0,0,6,1,4,0,Schalke 04,34,Germany - 1. Bundesliga
342,Ramazan Özcan,149,0,0,0,0,1,2,0,Ingolstadt,28,Germany - 1. Bundesliga
343,Raúl Marcelo Bobadilla,84,69,16,45,29,18,332,9,Augsburg,27,Germany - 1. Bundesliga
344,René Adler,129,0,0,4,0,2,5,0,Hamburger SV,24,Germany - 1. Bundesliga
345,Ricardo Iván Rodríguez Araya,121,83,27,26,60,59,280,15,Wolfsburg,24,Germany - 1. Bundesliga
346,Robbie Kruse,23,24,1,4,10,2,137,4,VfB Stuttgart,12,Germany - 1. Bundesliga
347,Robert Bauer,86,83,27,35,55,75,335,26,Ingolstadt,24,Germany - 1. Bundesliga
348,Robert Lewandowski,95,97,4,36,20,19,366,4,Bayern Munich,32,Germany - 1. Bundesliga
349,Roberto Hilbert,42,41,12,15,23,40,148,15,Bayer Leverkusen,12,Germany - 1. Bundesliga
350,Robin Knoche,37,34,11,10,25,39,99,11,Wolfsburg,11,Germany - 1. Bundesliga
351,Roel Brouwers,6,11,2,2,5,22,27,2,Borussia Mönchengladbach,8,Germany - 1. Bundesliga
352,Roger de Oliveira Bernardo,174,122,32,46,51,80,455,33,Ingolstadt,29,Germany - 1. Bundesliga
353,Romain Brégerie,39,63,10,7,33,53,192,18,Ingolstadt,21,Germany - 1. Bundesliga
354,Roman Bürki,142,0,0,1,0,0,6,0,Borussia Dortmund,33,Germany - 1. Bundesliga
355,Roman Neustädter,102,119,30,26,58,121,298,34,Schalke 04,30,Germany - 1. Bundesliga
356,Roman Weidenfeller,8,0,0,0,0,0,0,0,Borussia Dortmund,1,Germany - 1. Bundesliga
357,Ron-Robert Zieler,187,0,0,0,0,0,9,0,Hannover 96,34,Germany - 1. Bundesliga
358,Ronaldo Aparecido Rodrigues,128,97,28,36,56,136,252,43,Wolfsburg,29,Germany - 1. Bundesliga
359,Ronny Heberson Furtado de Araújo,1,3,0,1,1,0,4,0,Hertha Berlin,1,Germany - 1. Bundesliga
360,Roy Beerens,2,0,0,2,0,0,17,1,Hertha Berlin,2,Germany - 1. Bundesliga
361,Rune Almenning Jarstein,131,0,0,0,0,0,4,0,Hertha Berlin,29,Germany - 1. Bundesliga
362,Russell Canouse,1,0,0,0,1,3,3,1,Hoffenheim,1,Germany - 1. Bundesliga
363,Salif Sané,179,145,49,57,81,135,486,38,Hannover 96,31,Germany - 1. Bundesliga
364,Salomon Armand Magloire Kalou,91,115,13,43,46,16,378,10,Hertha Berlin,32,Germany - 1. Bundesliga
365,Sambou Yatabaré,31,29,6,20,11,8,143,0,Werder Bremen,8,Germany - 1. Bundesliga
366,Sandro Sirigu,5,6,3,3,2,2,29,4,Darmstadt 98,5,Germany - 1. Bundesliga
367,Sandro Wagner,104,309,21,99,56,44,494,4,Darmstadt 98,32,Germany - 1. Bundesliga
368,Santiago García,106,122,39,52,70,81,385,58,Werder Bremen,29,Germany - 1. Bundesliga
369,Sascha Mölders,1,5,0,4,1,0,8,0,Augsburg,4,Germany - 1. Bundesliga
370,Sascha Riether,53,35,11,16,34,32,168,17,Schalke 04,17,Germany - 1. Bundesliga
371,Sead Kolašinac,71,83,24,36,40,38,313,27,Schalke 04,23,Germany - 1. Bundesliga
372,Sebastian Boenisch,32,31,10,8,22,18,81,14,Bayer Leverkusen,8,Germany - 1. Bundesliga
373,Sebastian Jung,18,23,6,5,12,15,105,4,Wolfsburg,11,Germany - 1. Bundesliga
374,Sebastian Langkamp,44,74,25,17,36,139,203,17,Hertha Berlin,22,Germany - 1. Bundesliga
375,Sebastian Rode,21,17,8,11,6,4,91,2,Bayern Munich,15,Germany - 1. Bundesliga
376,Sebastian Rudy,103,97,37,57,51,24,508,19,Hoffenheim,24,Germany - 1. Bundesliga
377,Serdar Taşçı,8,7,2,4,4,2,22,5,Bayern Munich,3,Germany - 1. Bundesliga
378,Sereso Geoffroy Gonzaroua Dié,170,75,41,43,33,29,415,25,VfB Stuttgart,23,Germany - 1. Bundesliga
379,Shinji Kagawa,113,71,18,27,36,6,440,11,Borussia Dortmund,29,Germany - 1. Bundesliga
380,Sidney Sam,5,0,0,0,1,0,7,0,Schalke 04,2,Germany - 1. Bundesliga
381,Simon Zoller,42,53,6,24,22,10,243,4,FC Köln,24,Germany - 1. Bundesliga
382,Slobodan Medojević,19,24,9,15,15,7,132,9,Eintracht Frankfurt,12,Germany - 1. Bundesliga
383,Slobodan Rajković,34,30,12,23,33,83,146,12,Darmstadt 98,14,Germany - 1. Bundesliga
384,Sokratis Papastathopoulos,94,88,32,36,37,93,267,16,Borussia Dortmund,25,Germany - 1. Bundesliga
385,Sonny Kittel,20,14,5,5,11,0,78,1,Eintracht Frankfurt,8,Germany - 1. Bundesliga
386,Stefan Aigner,84,122,29,51,48,14,483,13,Eintracht Frankfurt,31,Germany - 1. Bundesliga
387,Stefan Bell,173,92,28,53,68,167,264,55,FSV Mainz 05,30,Germany - 1. Bundesliga
388,Stefan Kießling,74,201,24,48,35,22,389,8,Bayer Leverkusen,30,Germany - 1. Bundesliga
389,Stefan Lex,26,60,6,21,13,4,306,2,Ingolstadt,20,Germany - 1. Bundesliga
390,Stefan Reinartz,70,53,15,26,37,19,246,21,Eintracht Frankfurt,15,Germany - 1. Bundesliga
391,Steven Zuber,37,30,6,13,22,3,156,2,Hoffenheim,12,Germany - 1. Bundesliga
392,Suat Serdar,19,14,3,7,5,5,76,2,FSV Mainz 05,12,Germany - 1. Bundesliga
393,Sven Bender,79,64,15,13,34,69,174,21,Borussia Dortmund,19,Germany - 1. Bundesliga
394,Sven Schipplock,33,79,7,36,23,14,316,6,Hamburger SV,20,Germany - 1. Bundesliga
395,Sven Ulreich,2,0,0,0,0,0,0,0,Bayern Munich,1,Germany - 1. Bundesliga
396,Szabolcs Huszti,71,67,25,43,21,9,348,11,Eintracht Frankfurt,15,Germany - 1. Bundesliga
397,Takashi Inui,1,0,0,1,0,0,18,1,Eintracht Frankfurt,1,Germany - 1. Bundesliga
398,Tarik Elyounoussi,19,20,4,5,9,8,97,4,Hoffenheim,6,Germany - 1. Bundesliga
399,Theodor Gebre Selassie,101,168,45,46,70,120,548,42,Werder Bremen,33,Germany - 1. Bundesliga
400,Thiago Alcântara do Nascimento,103,83,40,40,28,13,324,22,Bayern Munich,27,Germany - 1. Bundesliga
401,Thomas Kessler,7,0,0,0,0,0,0,0,FC Köln,1,Germany - 1. Bundesliga
402,Thomas Kraft,32,1,0,0,1,0,2,0,Hertha Berlin,6,Germany - 1. Bundesliga
403,Thomas Müller,71,108,13,29,37,16,330,11,Bayern Munich,31,Germany - 1. Bundesliga
404,Thorgan Hazard,69,94,23,50,35,9,490,13,Borussia Mönchengladbach,29,Germany - 1. Bundesliga
405,Tim Matavž,12,40,5,4,6,1,105,1,Augsburg,11,Germany - 1. Bundesliga
406,Timm Klose,26,23,5,6,11,28,73,11,Wolfsburg,8,Germany - 1. Bundesliga
407,Timo Baumgartl,51,80,19,18,49,108,234,12,VfB Stuttgart,19,Germany - 1. Bundesliga
408,Timo Horn,148,0,0,0,1,1,0,0,FC Köln,33,Germany - 1. Bundesliga
409,Timo Werner,60,144,10,36,43,4,535,4,VfB Stuttgart,33,Germany - 1. Bundesliga
410,Timothy Chandler,26,31,13,13,15,10,101,16,Eintracht Frankfurt,12,Germany - 1. Bundesliga
411,Tin Jedvaj,39,50,10,17,31,35,177,18,Bayer Leverkusen,15,Germany - 1. Bundesliga
412,Tobias Kempe,80,75,12,19,33,15,283,16,Darmstadt 98,31,Germany - 1. Bundesliga
413,Tobias Levels,52,76,19,25,50,37,307,20,Ingolstadt,16,Germany - 1. Bundesliga
414,Tobias Sippel,12,0,0,0,0,0,2,0,Borussia Mönchengladbach,2,Germany - 1. Bundesliga
415,Tobias Strobl,89,114,37,46,70,65,500,26,Hoffenheim,26,Germany - 1. Bundesliga
416,Tobias Werner,25,19,5,10,17,8,97,8,Augsburg,13,Germany - 1. Bundesliga
417,Tohouri Zahoui Constant Djakpa,50,26,11,8,17,26,99,13,Eintracht Frankfurt,11,Germany - 1. Bundesliga
418,Tolga Ciğerci,79,53,18,17,24,16,280,17,Hertha Berlin,18,Germany - 1. Bundesliga
419,Tom Mickel,2,0,0,0,0,0,0,0,Hamburger SV,1,Germany - 1. Bundesliga
420,Toni Šunjić,45,74,17,28,22,122,176,25,VfB Stuttgart,19,Germany - 1. Bundesliga
421,Tony Jantschke,28,46,11,8,22,47,90,13,Borussia Mönchengladbach,12,Germany - 1. Bundesliga
422,Uffe Manich Bech,27,42,3,15,21,6,185,2,Hannover 96,11,Germany - 1. Bundesliga
423,Uilson de Souza Paula Júnior,129,108,29,41,70,71,358,29,Schalke 04,23,Germany - 1. Bundesliga
424,Ulisses Alexandre Garcia Lopes,41,25,10,22,14,14,127,6,Werder Bremen,11,Germany - 1. Bundesliga
425,Valentin Stocker,36,63,10,31,26,5,293,6,Hertha Berlin,20,Germany - 1. Bundesliga
426,Valmir Sulejmani,13,5,1,1,1,0,56,1,Hannover 96,4,Germany - 1. Bundesliga
427,Vedad Ibišević,58,158,11,48,24,14,412,5,Hertha Berlin,26,Germany - 1. Bundesliga
428,Vladimír Darida,135,93,23,64,47,34,513,18,Hertha Berlin,31,Germany - 1. Bundesliga
429,Vladlen Yurchenko,10,19,2,9,8,5,62,9,Bayer Leverkusen,7,Germany - 1. Bundesliga
430,Václav Kadlec,6,7,2,5,0,0,33,1,Eintracht Frankfurt,5,Germany - 1. Bundesliga
431,Waldemar Anton,41,20,7,10,15,39,105,11,Hannover 96,8,Germany - 1. Bundesliga
432,Wendell Nascimento Borges,174,122,38,61,74,85,465,66,Bayer Leverkusen,28,Germany - 1. Bundesliga
433,Xabier Alonso Olano,88,91,32,40,29,35,347,11,Bayern Munich,26,Germany - 1. Bundesliga
434,Yann Sommer,162,1,0,1,0,1,4,0,Borussia Mönchengladbach,32,Germany - 1. Bundesliga
435,Yanni Regäsel,58,36,14,14,27,24,213,7,Eintracht Frankfurt,16,Germany - 1. Bundesliga
436,Yannick Gerhardt,113,98,33,34,48,25,554,25,FC Köln,29,Germany - 1. Bundesliga
437,Yoshinori Muto,43,116,19,45,29,3,414,9,FSV Mainz 05,20,Germany - 1. Bundesliga
438,Younès Belhanda,55,37,20,16,26,5,204,4,Schalke 04,15,Germany - 1. Bundesliga
439,Yunus Mallı,108,66,9,21,49,6,485,7,FSV Mainz 05,34,Germany - 1. Bundesliga
440,Yūya Ōsako,68,77,14,31,11,11,312,8,FC Köln,25,Germany - 1. Bundesliga
441,Zlatko Junuzović,131,113,27,54,46,14,643,21,Werder Bremen,30,Germany - 1. Bundesliga
442,Ádám Szalai,24,52,5,22,12,3,167,6,Hannover 96,16,Germany - 1. Bundesliga
443,Álvaro Domínguez Soto,13,18,4,4,5,27,29,2,Borussia Mönchengladbach,6,Germany - 1. Bundesliga
444,Änis Ben-Hatira,34,28,6,17,1,4,156,2,Eintracht Frankfurt,9,Germany - 1. Bundesliga
445,Ömer Toprak,94,72,24,24,46,78,177,33,Bayer Leverkusen,19,Germany - 1. Bundesliga
446,Ørjan Håskjold Nyland,36,0,0,0,0,0,1,0,Ingolstadt,6,Germany - 1. Bundesliga
447,İlkay Gündoğan,161,47,22,31,46,15,394,39,Borussia Dortmund,25,Germany - 1. Bundesliga
448,Łukasz Piszczek,58,45,13,12,45,53,215,17,Borussia Dortmund,20,Germany - 1. Bundesliga
449,Łukasz Załuska,4,0,0,0,0,0,0,0,Darmstadt 98,1,Germany - 1. Bundesliga
